"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"P12","SAN FU","3","WU KAM FAI","129",FALSE,FALSE,129,2015
"P13","LAM TSUEN VALLEY","1","WAN YUK WING","374",FALSE,FALSE,374,2015
"P13","LAM TSUEN VALLEY","2","CHAN CHO LEUNG","2,468*",FALSE,TRUE,2468,2015
"P13","LAM TSUEN VALLEY","3","LAM CHUN CHEUNG","1,744",FALSE,FALSE,1744,2015
"P14","PO NGA","1","CHOW YUEN WAI","2,683*",FALSE,TRUE,2683,2015
"P14","PO NGA","2","WONG YUNG KAN","2,292",FALSE,FALSE,2292,2015
"P15","TAI WO","*","CHENG CHUN WO","Uncontested",TRUE,TRUE,0,2015
"P16","OLD MARKET & SERENITY","1","LAU YUNG WAI","2,170*",FALSE,TRUE,2170,2015
"P16","OLD MARKET & SERENITY","2","CHEUNG KWOK WAI","1,699",FALSE,FALSE,1699,2015
"P17","HONG LOK YUEN","1","MAN CHEN FAI","1,132",FALSE,FALSE,1132,2015
"P17","HONG LOK YUEN","2","TANG MING TAI PATRICK","1,780*",FALSE,TRUE,1780,2015
"P18","SHUEN WAN","*","LAU CHEE SING(DR.)","Uncontested",TRUE,TRUE,0,2015
"P19","SAI KUNG NORTH","1","LI WAH KWONG REX","1,024*",FALSE,TRUE,1024,2015
"P19","SAI KUNG NORTH","2","LEE KWAI YAU VICTOR","1,004",FALSE,FALSE,1004,2015
"Q01","SAI KUNG CENTRAL","1","CHEUNG SZE KIT ALAN","843",FALSE,FALSE,843,2015
"Q01","SAI KUNG CENTRAL","2","NG SZE FUK","1,723*",FALSE,TRUE,1723,2015
"Q02","PAK SHA WAN","1","PO WAI MING","1,109",FALSE,FALSE,1109,2015
"Q02","PAK SHA WAN","2","HIEW MOO SIEW","1,539*",FALSE,TRUE,1539,2015
"Q03","SAI KUNG ISLANDS","*","LI KA LEUNG PHILIP","Uncontested",TRUE,TRUE,0,2015
"Q04","HANG HAU EAST","1","LAU MAN CHOI NEWMAN","810",FALSE,FALSE,810,2015
"Q04","HANG HAU EAST","2","LAU WAI CHEUNG PETER","962*",FALSE,TRUE,962,2015
"Q05","HANG HAU WEST","1","LUK SAU CHING","1,027",FALSE,FALSE,1027,2015
"Q05","HANG HAU WEST","2","YAU YUK LUN","1,397*",FALSE,TRUE,1397,2015
"Q06","PO YEE","1","TSE CHING FUNG","2,361*",FALSE,TRUE,2361,2015
"Q06","PO YEE","2","NG SHUET SHAN","1,838",FALSE,FALSE,1838,2015
"Q07","WAI KING","1","WONG SHING KWONG(JACK)","357",FALSE,FALSE,357,2015
"Q07","WAI KING","2","CHAN KAI WAI","3,014*",FALSE,TRUE,3014,2015
"Q08","DO SHIN","1","SO HO","572",FALSE,FALSE,572,2015
"Q08","DO SHIN","2","MOK RUBY","617",FALSE,FALSE,617,2015
"Q08","DO SHIN","3","SHUEN PAK MAN ANDREW","531",FALSE,FALSE,531,2015
