ConstituencyCode,CandidateCode,Key,Constituency,Candidate,Gender,Occupation,Politics,CandidateAlias,Uncontested,elected,VotesN,Year,Constituency_ZH,Politics_ZH,Candidate_ZH,Camp
D08,2,D08_2,WAH KWAI,YEUNG SIU PIK,F,Director,Democratic Party,YEUNG SIU PIK,FALSE,FALSE,2652,2015,華貴,民主黨,楊小壁,D
D08,3,D08_3,WAH KWAI,MAK TSE HOW LING ADA,F,Principal,DAB,MAK TSE HOW LING ADA,FALSE,TRUE,2699,2015,華貴,民建聯,麥謝巧玲,B
D09,1,D09_1,WAH FU SOUTH,AU LAP SING,M,Full Time District Councillor,,AU LAP SING,FALSE,TRUE,1632,2015,華富南,港島各界,歐立成,B
D09,2,D09_2,WAH FU SOUTH,LI SHEE LIN,F,Community Officer,The Democratic Party,LI SHEE LIN,FALSE,FALSE,1629,2015,華富南,民主黨,黎熙琳,D
D10,1,D10_1,WAH FU NORTH,WONG CHOI LAP,M,Co-ordinator,DAB,WONG CHOI LAP,FALSE,FALSE,2089,2015,華富北,民建聯,黃才立,B
D10,2,D10_2,WAH FU NORTH,LAW YUET WAH,F,Financial Planning Officer,Independent Candidate,LAW YUET WAH,FALSE,FALSE,21,2015,華富北,獨立,羅月華,U
D10,3,D10_3,WAH FU NORTH,CHAI MAN HON,M,Southern District Councillor,The Democratic Party,CHAI MAN HON,FALSE,TRUE,2408,2015,華富北,民主黨,柴文翰,D
D10,4,D10_4,WAH FU NORTH,WUN KEI YAN,F,,,WUN KEI YAN,FALSE,FALSE,29,2015,華富北,偽傘兵,尹杞殷,U
D11,1,D11_1,POKFULAM,YOUNG CHIT ON JEREMY,M,Executive Director,Liberal Party,YOUNG CHIT ON JEREMY,FALSE,FALSE,1144,2015,薄扶林,自由黨,楊哲安,B
D11,2,D11_2,POKFULAM,ZIMMERMAN PAULUS JOHANNES,M,District Councillor,Independent Democrat,ZIMMERMAN PAULUS JOHANNES(PAUL ZIMMERMAN),FALSE,TRUE,1952,2015,薄扶林,前公民黨,司馬文,D
D12,1,D12_1,CHI FU,CHU CHING HONG,M,District Councillor/University Consultant,Independent Candidate,CHU CHING HONG,FALSE,TRUE,2762,2015,置富,獨立,朱慶虹,B
D12,2,D12_2,CHI FU,YIU CHUNG YIM,M,Associate Professor,,YIU CHUNG YIM,FALSE,FALSE,2223,2015,置富,城鄉共生連線,姚松炎,D
D13,*,D13_*,TIN WAN,CHAN FU MING,M,,,CHAN FU MING,TRUE,TRUE,0,2015,田灣,港島各界,陳富明,B
D14,*,D14_*,SHEK YUE,CHU LAP WAI,M,District Councillor,DAB,CHU LAP WAI,TRUE,TRUE,0,2015,石漁,民建聯,朱立威,B
D15,1,D15_1,WONG CHUK HANG,CHAN WING YAN,F,*Legislative Assistant,*The Hong Kong Federation of Trade Unions,CHAN WING YAN,FALSE,FALSE,2190,2015,黃竹坑,工聯會,陳榮恩,B
D15,2,D15_2,WONG CHUK HANG,TSUI YUEN WA,M,Full Time District Councillor,Democratic Party,TSUI YUEN WA,FALSE,TRUE,2645,2015,黃竹坑,民主黨,徐遠華,D
D16,1,D16_1,BAYS AREA,SCHAUS DAVID JOHN,M,Engineer,,SCHAUS DAVID JOHN(DAVID SCHAUS),FALSE,FALSE,474,2015,海灣,獨立,SCHAUS David John,U
D16,2,D16_2,BAYS AREA,FUNG SE GOUN FERGUS,M,,Liberal Party,FUNG SE GOUN FERGUS,FALSE,TRUE,957,2015,海灣,自由黨,馮仕耕,B
D17,1,D17_1,STANLEY & SHEK O,TSANG TSZ HO,M,Director,Liberal Party,TSANG TSZ HO,FALSE,FALSE,408,2015,赤柱及石澳,自由黨,曾梓濠,B
D17,2,D17_2,STANLEY & SHEK O,YAO JIE NING MAXINE,F,Probationer in General Practice Surveying,,YAO JIE NING MAXINE,FALSE,FALSE,752,2015,赤柱及石澳,獨立,姚潔凝,U
D17,3,D17_3,STANLEY & SHEK O,LEE PUI YING,F,Director,,LEE PUI YING(CHAN LEE PUI YING),FALSE,TRUE,1832,2015,赤柱及石澳,港島各界,李佩英,B
