"ConstituencyCode","Constituency","CandidateCode","CandidateAlias","Votes","Uncontested","elected","VotesN","Year","Key","Candidate"
"K02","YEUNG UK ROAD","1","CHAN HAN PAN","2,075*",FALSE,TRUE,2075,2015,"K02_1","CHAN HAN PAN"
"K02","YEUNG UK ROAD","2","LAM SEK TIM","1,233",FALSE,FALSE,1233,2015,"K02_2","LAM SEK TIM"
"K03","HOI BUN","1","CHENG PAK KEUNG","1,926",FALSE,FALSE,1926,2015,"K03_1","CHENG PAK KEUNG"
"K03","HOI BUN","2","CHOW PING TIM","2,647*",FALSE,TRUE,2647,2015,"K03_2","CHOW PING TIM"
"K04","CLAGUE GARDEN","1","KOO YEUNG PONG","1,825*",FALSE,TRUE,1825,2015,"K04_1","KOO YEUNG PONG"
"K04","CLAGUE GARDEN","2","TONG WING CHI","1,550",FALSE,FALSE,1550,2015,"K04_2","TONG WING CHI"
"K05","FUK LOI","*","KOT SIU YUEN","Uncontested",TRUE,TRUE,0,2015,"K05_*","KOT SIU YUEN"
"K06","DISCOVERY PARK","1","TIEN MICHAEL PUK SUN","3,674*",FALSE,TRUE,3674,2015,"K06_1","TIEN MICHAEL PUK SUN"
"K06","DISCOVERY PARK","2","CHIU YAN LOY","2,020",FALSE,FALSE,2020,2015,"K06_2","CHIU YAN LOY"
"K07","TSUEN WAN CENTRE","1","LI HUNG POR","2,235*",FALSE,TRUE,2235,2015,"K07_1","LI HUNG POR"
"K07","TSUEN WAN CENTRE","2","TSANG TAI","2,074",FALSE,FALSE,2074,2015,"K07_2","TSANG TAI"
"K08","ALLWAY","1","WONG YUI TAK LOUIS","1,777",FALSE,FALSE,1777,2015,"K08_1","WONG YUI TAK LOUIS"
"K08","ALLWAY","2","LAM YUEN PUN","2,820*",FALSE,TRUE,2820,2015,"K08_2","LAM YUEN PUN"
"K09","LAI TO","1","WONG WAI KIT","3,661*",FALSE,TRUE,3661,2015,"K09_1","WONG WAI KIT"
"K09","LAI TO","2","CHIU PUI SZE(VICKY)","1,441",FALSE,FALSE,1441,2015,"K09_2","CHIU PUI SZE"
"K10","TING SHAM","1","HA HEI LOK","1,606",FALSE,FALSE,1606,2015,"K10_1","HA HEI LOK"
"K10","TING SHAM","2","CHENG CHIT PUN","1,799*",FALSE,TRUE,1799,2015,"K10_2","CHENG CHIT PUN"
"K10","TING SHAM","3","CHENG SHING LUNG EDWIN","454",FALSE,FALSE,454,2015,"K10_3","CHENG SHING LUNG EDWIN"
"K11","TSUEN WAN WEST","1","CHU SHUN MING","793",FALSE,FALSE,793,2015,"K11_1","CHU SHUN MING"
"K11","TSUEN WAN WEST","2","LAM LAM NIXIE","2,462*",FALSE,TRUE,2462,2015,"K11_2","LAM LAM NIXIE"
"K11","TSUEN WAN WEST","3","POON CHIU LAM","1,500",FALSE,FALSE,1500,2015,"K11_3","POON CHIU LAM"
"K12","TSUEN WAN RURAL","1","CHAN WAI MING","1,812",FALSE,FALSE,1812,2015,"K12_1","CHAN WAI MING"
"K12","TSUEN WAN RURAL","2","NG HIN LUNG","1,984*",FALSE,TRUE,1984,2015,"K12_2","NG HIN LUNG"
"K13","MA WAN","1","TSENG WEN TIEN JUSTIN","529",FALSE,FALSE,529,2015,"K13_1","TSENG WEN TIEN JUSTIN"
"K13","MA WAN","2","LUK WAI LEUNG WILLIAM","193",FALSE,FALSE,193,2015,"K13_2","LUK WAI LEUNG WILLIAM"
"K13","MA WAN","3","TAM HOI PONG","1,668*",FALSE,TRUE,1668,2015,"K13_3","TAM HOI PONG"
"K13","MA WAN","4","WONG CHIU WAH KEVIN","1,056",FALSE,FALSE,1056,2015,"K13_4","WONG CHIU WAH KEVIN"
"K14","LUK YEUNG","1","WONG PUI CHI","1,933",FALSE,FALSE,1933,2015,"K14_1","WONG PUI CHI"
