"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"L15","悅湖","1","張恒輝","2,073*",FALSE,TRUE,2073,2015
"L15","悅湖","2","葉麗媚(關太)","1,682",FALSE,FALSE,1682,2015
"L16","兆禧","1","侯國東","1,488",FALSE,FALSE,1488,2015
"L16","兆禧","2","甄紹南","2,021*",FALSE,TRUE,2021,2015
"L17","湖景","1","梁健文","1,454*",FALSE,TRUE,1454,2015
"L17","湖景","2","周啟廉","1,049",FALSE,FALSE,1049,2015
"L18","蝴蝶","1","楊智恒","2,505*",FALSE,TRUE,2505,2015
"L18","蝴蝶","2","蘇愛群","1,949",FALSE,FALSE,1949,2015
"L19","樂翠","1","何君堯","2,013*",FALSE,TRUE,2013,2015
"L19","樂翠","2","阮偉忠","99",FALSE,FALSE,99,2015
"L19","樂翠","3","鄭松泰","391",FALSE,FALSE,391,2015
"L19","樂翠","4","張永偉","25",FALSE,FALSE,25,2015
"L19","樂翠","5","沈錦添","94",FALSE,FALSE,94,2015
"L19","樂翠","6","何俊仁","1,736",FALSE,FALSE,1736,2015
"L20","龍門","*","龍瑞卿","自動當選",TRUE,TRUE,0,2015
"L21","新景","1","李鳳嬋","1,243",FALSE,FALSE,1243,2015
"L21","新景","2","黃麗嫦","2,686*",FALSE,TRUE,2686,2015
"L22","良景","1","程志紅","2,366*",FALSE,TRUE,2366,2015
"L22","良景","2","官東榮","1,290",FALSE,FALSE,1290,2015
"L23","田景","1","李洪森","2,295*",FALSE,TRUE,2295,2015
"L23","田景","2","招儉玲","1,321",FALSE,FALSE,1321,2015
"L24","寶田","1","蘇嘉雯","2,516*",FALSE,TRUE,2516,2015
"L24","寶田","2","朱韶洪(大陸朱)","402",FALSE,FALSE,402,2015
"L25","建生","1","林梓晴(日青)","1,283",FALSE,FALSE,1283,2015
"L25","建生","2","陳文華","2,456*",FALSE,TRUE,2456,2015
"L26","兆康","1","巫成鋒","2,677*",FALSE,TRUE,2677,2015
"L26","兆康","2","羅浩恩","80",FALSE,FALSE,80,2015
"L26","兆康","3","陳樹英","2,267",FALSE,FALSE,2267,2015
"L27","景峰","1","何杏梅","2,970*",FALSE,TRUE,2970,2015
"L27","景峰","2","鄺<U+73C9>樀","1,126",FALSE,FALSE,1126,2015
"L28","富泰","1","陳文偉","2,823*",FALSE,TRUE,2823,2015
"L28","富泰","2","何偉祥","1,044",FALSE,FALSE,1044,2015
"L29","屯門鄉郊","1","鄧德森","728",FALSE,FALSE,728,2015
"L29","屯門鄉郊","2","陶錫源","1,644*",FALSE,TRUE,1644,2015
"M01","豐年","1","呂堅","2,179*",FALSE,TRUE,2179,2015
"M01","豐年","2","黃國雄","1,227",FALSE,FALSE,1227,2015
"M02","水邊","*","袁敏兒","自動當選",TRUE,TRUE,0,2015
"M03","南屏","1","黃偉賢","2,598*",FALSE,TRUE,2598,2015
"M03","南屏","2","張芬蘭","1,249",FALSE,FALSE,1249,2015
"M03","南屏","3","陳惠儀","246",FALSE,FALSE,246,2015
"M04","北朗","1","黃玉珍","2,013",FALSE,FALSE,2013,2015
"M04","北朗","2","鄺俊宇","2,890*",FALSE,TRUE,2890,2015
"M05","元朗中心","1","林廷<U+885E>","1,049",FALSE,FALSE,1049,2015
"M05","元朗中心","2","蕭浪鳴","1,615*",FALSE,TRUE,1615,2015
"M06","元龍","1","王威信","2,651*",FALSE,TRUE,2651,2015
"M06","元龍","2","莊健成","362",FALSE,FALSE,362,2015
"M07","鳳翔","1","麥業成","2,173*",FALSE,TRUE,2173,2015
"M07","鳳翔","2","余仲良","1,425",FALSE,FALSE,1425,2015
"M07","鳳翔","3","王偉","163",FALSE,FALSE,163,2015
"M08","十八鄉東","*","沈豪傑","自動當選",TRUE,TRUE,0,2015
"M09","十八鄉中","*","梁明堅","自動當選",TRUE,TRUE,0,2015
"M10","十八鄉西","*","程振明","自動當選",TRUE,TRUE,0,2015
"M11","屏山南","*","張木林","自動當選",TRUE,TRUE,0,2015
"M12","屏山中","*","鄧慶業","自動當選",TRUE,TRUE,0,2015
"M13","屏山北","1","鄧達善","938",FALSE,FALSE,938,2015
